会社名,銘柄コード,進捗率,詳細ページURL,PER,PBR,配当利回り
川崎汽船9107,9107,59.7%,https://kabuyoho.jp/reportTop?bcode=9107,12.5,0.78,5.76%
グンゼ3002,3002,38.6%,https://kabuyoho.jp/reportTop?bcode=3002,46.0,1.16,5.45%
ヒップ2136,2136,46.2%,https://kabuyoho.jp/reportTop?bcode=2136,14.8,1.44,4.78%
ヨドコウ5451,5451,52.2%,https://kabuyoho.jp/reportTop?bcode=5451,16.0,0.93,4.72%
フコク5185,5185,30.5%,https://kabuyoho.jp/reportTop?bcode=5185,8.3,0.69,4.71%
イリソ電子工業6908,6908,51.5%,https://kabuyoho.jp/reportTop?bcode=6908,14.3,0.96,4.68%
サックスバーＨ9990,9990,47.7%,https://kabuyoho.jp/reportTop?bcode=9990,12.0,0.75,4.6%
ヤマハ発動機7272,7272,N/A,https://kabuyoho.jp/reportTop?bcode=7272,23.6,0.96,4.58%
東リ7971,7971,31.1%,https://kabuyoho.jp/reportTop?bcode=7971,10.2,0.83,4.57%
荒川化学工業4968,4968,26.6%,https://kabuyoho.jp/reportTop?bcode=4968,12.2,0.37,4.53%
トピー工業7231,7231,47.7%,https://kabuyoho.jp/reportTop?bcode=7231,8.1,0.46,4.53%
山田コンサル4792,4792,55.1%,https://kabuyoho.jp/reportTop?bcode=4792,11.9,1.74,4.5%
ＫＨネオケム4189,4189,59.4%,https://kabuyoho.jp/reportTop?bcode=4189,8.4,1.23,4.49%
ヤマウＨ5284,5284,29.3%,https://kabuyoho.jp/reportTop?bcode=5284,6.7,1.15,4.47%
ドリームインキュ4310,4310,N/A,https://kabuyoho.jp/reportTop?bcode=4310,N/A,1.96,4.44%
不二ラテックス5199,5199,43.9%,https://kabuyoho.jp/reportTop?bcode=5199,8.6,0.61,4.27%
理想科学工業6413,6413,49.3%,https://kabuyoho.jp/reportTop?bcode=6413,16.9,1.16,4.2%
エフ・シー・シー7296,7296,65.0%,https://kabuyoho.jp/reportTop?bcode=7296,12.1,0.82,4.2%
ウインパートナー3183,3183,49.0%,https://kabuyoho.jp/reportTop?bcode=3183,17.4,1.57,4.17%
日本金銭機械6418,6418,101.1%,https://kabuyoho.jp/reportTop?bcode=6418,8.2,0.78,4.12%
日本ＣＭＫ6958,6958,26.6%,https://kabuyoho.jp/reportTop?bcode=6958,10.3,0.47,4.08%
ＡＧＣ5201,5201,75.5%,https://kabuyoho.jp/reportTop?bcode=5201,19.3,0.78,4.05%
帝人3401,3401,N/A,https://kabuyoho.jp/reportTop?bcode=3401,N/A,0.64,3.98%
サンユウ5697,5697,59.6%,https://kabuyoho.jp/reportTop?bcode=5697,7.6,0.38,3.97%
キューブシステム2335,2335,41.9%,https://kabuyoho.jp/reportTop?bcode=2335,13.1,1.44,3.96%
高千穂交易2676,2676,46.9%,https://kabuyoho.jp/reportTop?bcode=2676,25.2,2.24,3.96%
セイコーエプソン6724,6724,52.2%,https://kabuyoho.jp/reportTop?bcode=6724,14.6,0.73,3.95%
アイカ工業4206,4206,48.9%,https://kabuyoho.jp/reportTop?bcode=4206,11.8,1.24,3.93%
インテリＷ4847,4847,8.4%,https://kabuyoho.jp/reportTop?bcode=4847,14.6,2.7,3.93%
バルカー7995,7995,44.0%,https://kabuyoho.jp/reportTop?bcode=7995,14.0,1.31,3.93%
クレスコ4674,4674,40.2%,https://kabuyoho.jp/reportTop?bcode=4674,12.5,1.9,3.89%
日本製鉄5401,5401,N/A,https://kabuyoho.jp/reportTop?bcode=5401,N/A,0.63,3.87%
ＯＣＨＩＨ3166,3166,44.1%,https://kabuyoho.jp/reportTop?bcode=3166,15.3,0.77,3.82%
三洋化成工業4471,4471,45.7%,https://kabuyoho.jp/reportTop?bcode=4471,6.1,0.66,3.82%
ソフトバンク9434,9434,N/A,https://kabuyoho.jp/reportTop?bcode=9434,20.0,3.73,3.78%
全国保証7164,7164,37.4%,https://kabuyoho.jp/reportTop?bcode=7164,13.2,1.78,3.73%
ヤマダＨ9831,9831,46.6%,https://kabuyoho.jp/reportTop?bcode=9831,11.6,0.49,3.68%
立川ブラインド7989,7989,71.5%,https://kabuyoho.jp/reportTop?bcode=7989,12.0,0.71,3.65%
ロジネットＪ9027,9027,49.6%,https://kabuyoho.jp/reportTop?bcode=9027,8.6,0.88,3.65%
文化シヤッター5930,5930,26.2%,https://kabuyoho.jp/reportTop?bcode=5930,12.5,1.3,3.64%
静岡ガス9543,9543,103.9%,https://kabuyoho.jp/reportTop?bcode=9543,9.8,0.69,3.61%
グリムス3150,3150,51.5%,https://kabuyoho.jp/reportTop?bcode=3150,11.3,3.15,3.59%
Ｊオイルミルズ2613,2613,45.6%,https://kabuyoho.jp/reportTop?bcode=2613,15.9,0.61,3.56%
エーザイ4523,4523,62.6%,https://kabuyoho.jp/reportTop?bcode=4523,31.8,1.55,3.41%
シグマクシスＨ6088,6088,53.7%,https://kabuyoho.jp/reportTop?bcode=6088,14.6,4.43,3.39%
フジミＩＮＣ5384,5384,49.1%,https://kabuyoho.jp/reportTop?bcode=5384,18.1,2.14,3.19%
不二サッシ5940,5940,15.1%,https://kabuyoho.jp/reportTop?bcode=5940,5.0,0.45,3.18%
ＡＺ−ＣＯＭ丸和9090,9090,52.2%,https://kabuyoho.jp/reportTop?bcode=9090,18.6,2.21,3.17%
トヨタ自動車7203,7203,59.3%,https://kabuyoho.jp/reportTop?bcode=7203,13.5,1.06,3.12%
旭化成3407,3407,48.9%,https://kabuyoho.jp/reportTop?bcode=3407,12.6,0.93,3.08%
東京エネシス1945,1945,33.9%,https://kabuyoho.jp/reportTop?bcode=1945,18.2,0.88,3.06%
ＤＴＳ9682,9682,51.9%,https://kabuyoho.jp/reportTop?bcode=9682,17.1,3.17,3.0%
ＭＣＪ6670,6670,54.7%,https://kabuyoho.jp/reportTop?bcode=6670,10.6,1.56,2.97%
九州旅客鉄道9142,9142,56.7%,https://kabuyoho.jp/reportTop?bcode=9142,13.2,1.28,2.93%
旭情報サービス9799,9799,42.8%,https://kabuyoho.jp/reportTop?bcode=9799,14.1,1.42,2.92%
日伝9902,9902,45.1%,https://kabuyoho.jp/reportTop?bcode=9902,14.5,0.8,2.92%
日邦産業9913,9913,52.1%,https://kabuyoho.jp/reportTop?bcode=9913,17.3,1.53,2.91%
ヤマシンフィルタ6240,6240,47.0%,https://kabuyoho.jp/reportTop?bcode=6240,22.3,1.96,2.87%
ヤマエＧＨ7130,7130,36.0%,https://kabuyoho.jp/reportTop?bcode=7130,6.8,0.74,2.86%
三井物産8031,8031,N/A,https://kabuyoho.jp/reportTop?bcode=8031,14.1,1.44,2.86%
ケアサービス2425,2425,18.6%,https://kabuyoho.jp/reportTop?bcode=2425,7.2,1.03,2.81%
三菱自動車工業7211,7211,26.4%,https://kabuyoho.jp/reportTop?bcode=7211,47.8,0.55,2.8%
大林組1802,1802,49.2%,https://kabuyoho.jp/reportTop?bcode=1802,14.1,1.76,2.75%
かどや製油2612,2612,69.0%,https://kabuyoho.jp/reportTop?bcode=2612,14.5,0.98,2.73%
名工建設1869,1869,51.9%,https://kabuyoho.jp/reportTop?bcode=1869,9.6,0.49,2.72%
安田倉庫9324,9324,53.5%,https://kabuyoho.jp/reportTop?bcode=9324,18.9,0.63,2.69%
綜研化学4972,4972,48.8%,https://kabuyoho.jp/reportTop?bcode=4972,10.1,1.07,2.58%
東武鉄道9001,9001,52.7%,https://kabuyoho.jp/reportTop?bcode=9001,9.7,0.86,2.56%
シスメックス6869,6869,42.2%,https://kabuyoho.jp/reportTop?bcode=6869,20.7,1.93,2.54%
指月電機製作所6994,6994,49.9%,https://kabuyoho.jp/reportTop?bcode=6994,12.1,0.83,2.52%
中京医薬品4558,4558,31.5%,https://kabuyoho.jp/reportTop?bcode=4558,28.9,0.85,2.46%
ゼリア新薬工業4559,4559,22.1%,https://kabuyoho.jp/reportTop?bcode=4559,9.1,0.94,2.46%
メディパルＨ7459,7459,49.7%,https://kabuyoho.jp/reportTop?bcode=7459,15.6,0.85,2.46%
オリジナル設計4642,4642,79.5%,https://kabuyoho.jp/reportTop?bcode=4642,15.1,1.12,2.45%
ＡＬＳＯＫ2331,2331,46.4%,https://kabuyoho.jp/reportTop?bcode=2331,17.7,1.67,2.44%
ヒラキ3059,3059,28.8%,https://kabuyoho.jp/reportTop?bcode=3059,40.7,0.64,2.39%
ニチコン6996,6996,33.6%,https://kabuyoho.jp/reportTop?bcode=6996,17.2,0.92,2.34%
伊藤忠商事8001,8001,N/A,https://kabuyoho.jp/reportTop?bcode=8001,14.2,2.09,2.33%
カルビー2229,2229,39.5%,https://kabuyoho.jp/reportTop?bcode=2229,20.7,1.76,2.28%
スカパーＪＳＡＴ9412,9412,57.5%,https://kabuyoho.jp/reportTop?bcode=9412,23.8,1.73,2.15%
カカクコム2371,2371,48.9%,https://kabuyoho.jp/reportTop?bcode=2371,25.1,7.93,2.07%
テレビ東京Ｈ9413,9413,64.2%,https://kabuyoho.jp/reportTop?bcode=9413,16.9,1.24,2.05%
ＢＩＰＲＯＧＹ8056,8056,50.8%,https://kabuyoho.jp/reportTop?bcode=8056,20.3,3.37,1.99%
ＳＭエンタメＪ4772,4772,141.3%,https://kabuyoho.jp/reportTop?bcode=4772,29.9,1.67,1.89%
ザインエレ6769,6769,N/A,https://kabuyoho.jp/reportTop?bcode=6769,N/A,1.0,1.83%
ハウスオブローゼ7506,7506,55.1%,https://kabuyoho.jp/reportTop?bcode=7506,140.6,1.17,1.82%
アズビル6845,6845,40.3%,https://kabuyoho.jp/reportTop?bcode=6845,22.0,3.18,1.8%
